T,X,Y,Z
1629821456102413669,-17852,-804,-380
1629821456135789561,-27112,8994,-5380
1629821456168944641,-20448,7012,-946
1629821456201660389,-18628,3230,2460
1629821456235179753,-20498,-3070,5510
1629821456268273786,-18456,-3980,7600
1629821456301298395,-14212,-2288,5296
1629821456334469269,-11158,-3460,3842
1629821456368149899,-10380,-1234,-2456
1629821456401629301,-14422,-1534,-5508
1629821456435036113,-16640,-2996,-2610
1629821456468845630,-17182,-4928,3378
1629821456502105928,-13632,-6174,2936
1629821456535868149,-12886,-6828,3808
1629821456569212497,-14500,-7268,5404
1629821456605088125,-18100,-12804,-594
1629821456641536099,-16154,-16436,-2894
1629821456676924264,-12288,-16676,188
1629821456713015371,-20580,-6570,4920
1629821456748394494,-31366,8640,10190
1629821456783309490,-32768,3230,-8472
1629821456817652390,-16292,-190,-4732
1629821456851101373,-8910,4024,-1794
1629821456884150318,-7408,-616,1718
1629821456917309357,-6680,1410,-424
1629821456950241625,-7490,5246,-2584
1629821456983152098,-8218,4152,-4086
1629821457017461827,-11310,120,-7028
1629821457050518683,-18572,-5804,3680
1629821457084035999,-21544,-17612,804
1629821457116831914,-19342,-10938,-5942
1629821457151127929,-16856,-14104,13400
1629821457184425141,-30678,-11796,-19498
1629821457217622552,-21122,11590,8648
1629821457250890761,-6338,13184,5312
1629821457284345988,-16262,15456,5292
1629821457317496353,-24156,5462,5278
1629821457350199593,-22530,-1022,902
1629821457383778206,-15572,-4084,940
1629821457416805184,-14436,-3636,-288
1629821457450089520,-11214,-6496,-358
1629821457483312142,-10486,-5290,1946
1629821457516017174,-13442,-2896,2192
1629821457549678628,-14122,-4892,2660
1629821457582738276,-14794,-6316,1302
1629821457616244175,-14702,-9330,-1192
1629821457649753073,-15578,-15664,-1970
1629821457682636371,-17456,-19090,-3960
1629821457716474009,-16406,-13866,-4384
1629821457749606706,-19646,-1058,2696
1629821457782326197,-32768,8252,7604
1629821457815592531,-32768,10038,-2620
1629821457848891077,-21316,3352,-5916
1629821457881928181,-7136,6558,814
1629821457915431288,-9184,2892,2960
1629821457949080949,-9838,2178,634
1629821457982434584,-9628,4064,-2448
1629821458018063846,-5352,3542,-3838
1629821458055759922,-8972,1326,-7264
1629821458090269617,-20106,-10016,-4954
1629821458127331634,-25390,-15634,-3720
1629821458160958912,-18716,-4604,-2344
1629821458194480805,-11414,-7994,-8422
1629821458228096124,-30742,-19562,-10242
1629821458261495881,-31172,11128,3966
1629821458295561700,-12992,9426,-1328
1629821458328771856,-16820,9582,10118
1629821458362760668,-17198,4306,10788
1629821458397883962,-17736,-2408,4686
1629821458431303095,-17452,-5522,-962
1629821458465669776,-12784,-5598,-1956
1629821458499972076,-11796,-7734,166
1629821458533269615,-11382,-7718,6730
1629821458567501825,-13424,-8272,2194
1629821458603774310,-13586,-6616,-42
1629821458640802073,-15866,-3956,-270
1629821458675751059,-16930,-1000,-168
1629821458711057828,-17460,-2322,-3526
1629821458744882291,-18180,-6920,-13974
1629821458778217876,-17170,-29496,-15286
1629821458811594422,-19702,-6816,-744
1629821458844950758,-22018,-1740,7108
1629821458878331638,-25952,-1226,15858
1629821458911858074,-26004,-870,13526
1629821458945403011,-12316,-274,-3740
1629821458979754065,-14318,5220,-1880
1629821459012895505,-10088,4620,-362
1629821459046254252,-8780,3498,-1328
1629821459079809183,-8126,2724,-2814
1629821459113002331,-5892,442,-4530
1629821459146981969,-6628,-9388,-5186
1629821459180170658,-15438,-15982,1880
1629821459213503444,-24770,-14930,-3422
1629821459246724261,-19722,-13802,904
1629821459280031419,-25592,-10692,-1678
1629821459314173447,-25738,1634,-3322
1629821459347313923,-9682,8064,394
1629821459380673628,-9852,6504,3936
1629821459414640265,-18614,-42,3028
1629821459447761948,-18722,-7198,5372
1629821459481168532,-16634,-2394,1738
1629821459515786022,-14172,-3184,-5046
1629821459548854658,-14264,-3656,-1154
1629821459581915710,-14028,-4248,468
1629821459616300302,-14570,-4268,1132
1629821459649359604,-16204,-4056,-1124
1629821459683900378,-14080,-2430,-1178
1629821459717038979,-14604,-136,1244
1629821459750184581,-17390,26,1078
1629821459783803352,-15892,-1210,864
1629821459817135137,-15312,-1260,2516
1629821459850617645,-13668,-2100,2686
1629821459884132198,-15584,-3748,2368
1629821459917353599,-19404,-2094,2638
1629821459950620878,-23110,5918,-19252
1629821459984124097,-23120,366,-3836
1629821460020771023,-14062,-1200,-348
1629821460054219397,-14000,1840,-1010
1629821460088379878,-19406,5030,-8606
1629821460122929396,-14414,2662,-2146
1629821460156859732,-12364,-658,-3800
1629821460196357670,-16400,82,-6490
1629821460230008271,-15552,-1206,-5562
1629821460263221455,-13750,-684,-4812
1629821460296789215,-16096,-200,-5208
1629821460330343682,-16414,268,-4592
1629821460364080332,-16008,2180,-3998
1629821460397628965,-14554,2318,-4062
1629821460431126385,-14574,542,-4432
1629821460464534713,-15288,-1694,-5746
1629821460497959459,-15004,-1698,-5660
1629821460531283613,-15746,-758,-4586
1629821460564346950,-16016,-218,-4500
1629821460598287578,-15982,298,-4580
1629821460636202493,-15274,628,-4434
1629821460669781254,-16014,1338,-5102
1629821460703611997,-16316,874,-5450
1629821460737018450,-16046,512,-5376
1629821460770524787,-16060,486,-4972
1629821460803951492,-15672,336,-4838
1629821460837564797,-15484,388,-5002
1629821460871373538,-15846,422,-5000
1629821460904403247,-16130,554,-5216
1629821460937969381,-16186,572,-5140
1629821460971126894,-16454,568,-4808
1629821461004591603,-15836,234,-4178
1629821461037750235,-15872,-170,-4216
1629821461071168516,-16172,-12,-4582
1629821461104324064,-15694,264,-4480
1629821461137987992,-16068,970,-4846
1629821461171823771,-16290,838,-4390
1629821461205158919,-15148,500,-3350
1629821461238347095,-16010,540,-3062
1629821461271940475,-16786,210,-3536
1629821461305571568,-16092,-284,-4148
1629821461338730033,-15878,-1888,-4882
1629821461372397712,-16104,-2416,-4944
1629821461406280411,-16276,-1966,-4764
1629821461439108095,-16128,-1382,-5254
1629821461472756397,-16482,-1510,-4904
1629821461505976576,-16040,-2462,-4188
1629821461539334060,-16032,-3724,-2648
1629821461572744798,-16106,-4116,-360
1629821461605897305,-16896,440,-872
1629821461639124109,-16166,1992,-6400
1629821461672200192,-13416,1550,-2978
1629821461705444081,-13032,-86,-1442
1629821461738436156,-14458,-460,-1782
1629821461771895607,-15828,-1238,-3348
1629821461805004026,-15566,-1118,-2550
1629821461838347383,-16410,-1648,-2110
1629821461871519266,-17084,-1208,-2474
1629821461904733653,-15622,-1692,-2808
1629821461937814277,-15760,-1424,-1934
1629821461972180646,-15334,-1382,-742
1629821462005633680,-15608,-3670,740
1629821462039952497,-19436,-2852,-448
1629821462073217882,-24122,-1528,-5022
1629821462106624656,-13884,-160,-414
1629821462140066807,-12564,-558,-1310
1629821462173470414,-13410,-1818,5998
1629821462207021784,-17684,-1648,5290
1629821462240266959,-16106,-1176,838
1629821462274417051,-14968,-68,1348
1629821462307664726,-14378,-498,2688
1629821462340730843,-16586,720,2066
1629821462374446978,-18022,1670,174
1629821462407765660,-16296,936,-1234
1629821462441178643,-15456,276,2430
1629821462474410775,-15144,-226,3958
1629821462507988189,-15528,-1348,3116
1629821462541503722,-15240,-1546,3536
1629821462575715612,-15402,-1520,3350
1629821462610672988,-15744,-504,2208
1629821462647191217,-15634,178,2334
1629821462681382022,-15258,-54,2760
1629821462715852436,-15340,-686,3752
1629821462749251250,-15392,-542,3424
1629821462782615270,-15544,-16,1880
1629821462815847443,-15430,-122,2186
1629821462849609708,-15454,-104,2682
1629821462883185539,-15242,-532,2398
1629821462916263615,-15724,-612,2756
1629821462949892242,-15524,-268,2640
1629821462983121291,-15488,276,1946
1629821463016366422,-15524,376,2016
1629821463049900493,-15670,-64,2558
1629821463084148338,-15872,-692,2732
1629821463117269286,-15320,-458,2782
1629821463150470784,-15354,-226,2388
1629821463183622069,-15734,-148,2208
1629821463216665677,-15508,-134,1934
1629821463249759123,-15268,-342,2508
1629821463283096134,-15328,-774,3100
1629821463316545446,-15426,-614,3278
1629821463349508797,-15524,-226,2646
1629821463382681459,-15462,400,2470
1629821463416125062,-15388,160,2610
